year,month,all_sectors,commercial,industrial,other,residential,transportation,prcp,snow,snwd,tmax,tmin,nmonth
2001,Jan,923,672,21,29,201,NA,0.08548387096774193,0.0935483870967742,0.10526315789473684,41.96774193548387,24.080645161290324,1
2001,Feb,823,622,20,27,155,NA,0.08017857142857143,0.10892857142857143,0.20754716981132076,49.142857142857146,28.803571428571427,2
2001,Mar,925,734,24,31,136,NA,0.1479032258064516,0,0,52.016129032258064,31.951612903225808,3
2001,Apr,808,649,22,28,108,NA,0.058,0,0,68.35,43.93333333333333,4
2001,May,820,653,23,28,116,NA,0.16225806451612904,0,0,76.79032258064517,52.67741935483871,5
2001,Jun,1082,868,24,30,161,NA,0.15316666666666667,0,0,85.71666666666667,64.58333333333333,6
2001,Jul,978,729,23,32,193,NA,0.15306451612903227,0,0,85.35483870967742,63.274193548387096,7
2001,Aug,1096,857,39,33,168,NA,0.1774193548387097,0,0,88.66129032258064,67.88709677419355,8
2001,Sep,900,728,22,32,118,NA,0.05583333333333333,0,0,78.96666666666667,55.083333333333336,9
2001,Oct,846,693,22,31,100,NA,0.026290322580645162,0,0,71.48387096774194,43.145161290322584,10
2001,Nov,806,637,18,29,122,NA,0.03310344827586207,0,0,65.15517241379311,37.206896551724135,11
2001,Dec,875,696,24,33,121,NA,0.05580645161290323,0,0,51.67741935483871,32.45161290322581,12
2002,Jan,915,721,20,33,142,NA,0.07064516129032258,0.07419354838709677,0.0967741935483871,48.61290322580645,29.580645161290324,1
2002,Feb,743,600,20,29,94,NA,0.012857142857142857,0,0,51.07142857142857,27.428571428571427,2
2002,Mar,869,687,23,31,128,NA,0.12096774193548387,0,0,55.74193548387097,34.32258064516129,3
2002,Apr,777,623,20,28,105,NA,0.136,0,0,68.13333333333334,45.166666666666664,4
2002,May,899,686,20,29,163,NA,0.0964516129032258,0,0,73.80645161290323,50.645161290322584,5
2002,Jun,1041,821,22,31,167,NA,0.07966666666666666,0,0,85.03333333333333,62.46666666666667,6
2002,Jul,1056,826,21,55,154,NA,0.07290322580645162,0,0,89.29032258064517,67.93548387096774,7
2002,Aug,1152,828,25,36,264,NA,0.11806451612903225,0,0,88.90322580645162,67.93548387096774,8
2002,Sep,1030,787,25,35,183,NA,0.10566666666666667,0,0,80.33333333333333,58.733333333333334,9
2002,Oct,925,742,37,46,100,NA,0.1938709677419355,0,0,63.935483870967744,48.064516129032256,10
2002,Nov,800,625,25,30,120,NA,0.126,0,0,53.8,34.93333333333333,11
2002,Dec,921,700,23,29,169,NA,0.1603225806451613,0.24193548387096775,0.9032258064516129,43.33870967741935,27.21311475409836,12
2003,Jan,957,728,19,NA,184,26,0.08645161290322581,0.1532258064516129,0.24193548387096775,36.693548387096776,22.451612903225808,1
2003,Feb,840,638,15,NA,170,18,0.2646428571428571,0.9886792452830189,4.321428571428571,38.75,23.963636363636365,2
2003,Mar,866,673,24,NA,145,24,0.13758064516129032,0.041935483870967745,0.3225806451612903,55.82258064516129,34.096774193548384,3
2003,Apr,834,697,17,NA,98,22,0.08833333333333333,0,0,64.08333333333333,42.9,4
2003,May,827,705,14,NA,85,23,0.24274193548387096,0,0,68.2258064516129,52.62903225806452,5
2003,Jun,949,765,18,NA,142,24,0.27466666666666667,0,0,79.38333333333334,62.1,6
2003,Jul,1108,848,22,NA,212,26,0.20725806451612902,0,0,85.55737704918033,67.77049180327869,7
2003,Aug,1103,839,21,NA,216,27,0.1579032258064516,0,0,85.96774193548387,68.83870967741936,8
2003,Sep,921,721,21,NA,152,26,0.2515,0,0,77.8,60.11666666666667,9
2003,Oct,850,732,20,NA,74,24,0.17580645161290323,0,0,66.12903225806451,45.064516129032256,10
2003,Nov,863,668,37,NA,132,26,0.17516666666666666,0,0,61.81666666666667,41.6,11
2003,Dec,829,626,38,NA,145,19,0.1532258064516129,0.23387096774193547,0.532258064516129,46.564516129032256,28.57377049180328,12
2004,Jan,972,716,28,NA,202,26,0.04838709677419355,0.22903225806451613,1.032258064516129,36.74193548387097,21.403225806451612,1
2004,Feb,940,733,23,NA,162,21,0.0853448275862069,0.003448275862068966,0.4827586206896552,44.94827586206897,26.103448275862068,2
2004,Mar,866,696,22,NA,126,23,0.08048387096774194,0.0032258064516129032,0,56.854838709677416,36.225806451612904,3
2004,Apr,847,682,28,NA,116,22,0.16216666666666668,0,0,65.33333333333333,45.53333333333333,4
2004,May,940,756,27,NA,131,26,0.12225806451612903,0,0,80.93548387096774,60.693548387096776,5
2004,Jun,939,730,16,NA,164,28,0.1425,0,0,81.38333333333334,62.55,6
2004,Jul,1165,901,31,NA,201,33,0.24274193548387096,0,0,85.42372881355932,68.57627118644068,7
2004,Aug,1165,895,24,NA,218,28,0.11758064516129033,0,0,83.85483870967742,66.25806451612904,8
2004,Sep,952,780,22,NA,123,27,0.14083333333333334,0,0,79.23333333333333,60.81666666666667,9
2004,Oct,864,711,20,NA,108,25,0.044516129032258066,0,0,65.62903225806451,46.935483870967744,10
2004,Nov,833,677,20,NA,113,22,0.16316666666666668,0,0,59.083333333333336,40.06666666666667,11
2004,Dec,931,718,20,NA,170,24,0.094,0,0,47.53225806451613,28.758064516129032,12
2005,Jan,982,770,12,NA,176,23,0.11725806451612904,0.22741935483870968,0.6129032258064516,42.70967741935484,27.225806451612904,1
2005,Feb,894,706,20,NA,147,21,0.05018518518518519,0.18518518518518517,0.36363636363636365,47.74545454545454,28.254545454545454,2
2005,Mar,1025,852,24,NA,121,28,0.1659677419354839,0.041935483870967745,0.11290322580645161,50.064516129032256,32.83870967741935,3
2005,Apr,832,679,23,NA,107,23,0.123,0,0,67.41666666666667,44.93333333333333,4
2005,May,714,542,24,NA,124,24,0.12854838709677419,0,0,70.88709677419355,49.725806451612904,5
2005,Jun,1081,843,25,NA,186,28,0.11233333333333333,0,0,84.73584905660377,64.84782608695652,6
2005,Jul,1239,954,27,NA,227,31,0.23516129032258065,0,0,88,70.04918032786885,7
2005,Aug,1233,960,21,NA,221,32,0.10467741935483871,0,0,86.78846153846153,69.70967741935483,8
2005,Sep,1054,841,20,NA,164,29,0.013333333333333334,0,0,84.76666666666667,61.516666666666666,9
2005,Oct,900,745,19,NA,108,28,0.32166666666666666,0,0,67.11475409836065,50.049180327868854,10
2005,Nov,882,713,20,NA,123,26,0.07050000000000001,0.008333333333333333,0,59.741379310344826,38.05172413793103,11
2005,Dec,979,691,21,NA,234,34,0.11951612903225807,0.1596774193548387,0.25806451612903225,42.70967741935484,26.5,12
2006,Jan,812,584,23,NA,185,21,0.09963636363636363,0,0,50.857142857142854,32.25,1
2006,Feb,882,691,19,NA,150,22,0.09547169811320755,0.4017857142857143,0.7857142857142857,47.11538461538461,27.942307692307693,2
2006,Mar,926,724,18,NA,161,23,0.004193548387096774,0,0,56.82258064516129,35.564516129032256,3
2006,Apr,835,692,16,NA,104,23,0.11016666666666666,0,0,69.91666666666667,46.766666666666666,4
2006,May,921,783,18,NA,95,24,0.058225806451612905,0,0,74.95161290322581,52.66129032258065,5
2006,Jun,1097,888,16,NA,167,27,0.3388333333333333,0,0,83.81666666666666,63.333333333333336,6
2006,Jul,1036,775,21,NA,209,31,0.09290322580645162,0,0,89.79032258064517,70.33870967741936,7
2006,Aug,1001,746,21,NA,203,31,0.03333333333333333,0,0,89.63333333333334,69.06666666666666,8
2006,Sep,1007,805,28,NA,147,27,0.23916666666666667,0,0,74.75,57.75,9
2006,Oct,992,835,27,NA,105,25,0.1743548387096774,0,0,65.7741935483871,45.74193548387097,10
2006,Nov,969,784,23,NA,136,25,0.19683333333333333,0,0,58.75,40.7,11
2006,Dec,919,724,10,NA,161,24,0.04096774193548387,0,0,53.2,33.2,12
2007,Jan,972,758,27,NA,160,27,0.074,0.030645161290322583,0.04838709677419355,47.34426229508197,30.483333333333334,1
2007,Feb,976,741,30,NA,181,25,0.08107142857142857,0.26785714285714285,0.5,36.69090909090909,21.418181818181818,2
2007,Mar,895,681,20,NA,169,25,0.1267741935483871,0.04516129032258065,0.04838709677419355,57.622950819672134,34.83606557377049,3
2007,Apr,876,715,25,NA,111,24,0.16383333333333333,0.0033333333333333335,0,62.016666666666666,41.916666666666664,4
2007,May,993,821,23,NA,124,26,0.040161290322580645,0,0,78.39344262295081,54.459016393442624,5
2007,Jun,1087,861,24,NA,172,29,0.06966666666666667,0,0,84.84482758620689,64.03448275862068,6
2007,Jul,1183,913,26,NA,215,30,0.12387096774193548,0,0,88.33870967741936,67.2258064516129,7
2007,Aug,1184,909,23,NA,222,30,0.11,0,0,89.14516129032258,68.2741935483871,8
2007,Sep,1033,805,25,NA,172,30,0.018000000000000002,0,0,83.82758620689656,59.96551724137931,9
2007,Oct,976,793,25,NA,131,27,0.20887096774193548,0,0,75.58064516129032,52.725806451612904,10
2007,Nov,909,735,24,NA,124,27,0.051666666666666666,0,0,55.71666666666667,37.45,11
2007,Dec,1028,788,26,NA,189,24,0.12161290322580645,0.11774193548387098,0.1935483870967742,45.62903225806452,31.20967741935484,12
2008,Jan,969,735,25,NA,183,27,0.047419354838709675,0.05161290322580645,0.04838709677419355,44.83870967741935,27.274193548387096,1
2008,Feb,890,683,22,NA,162,24,0.1393103448275862,0.029310344827586206,0.017241379310344827,47.689655172413794,28.224137931034484,2
2008,Mar,861,669,24,NA,145,24,0.07822580645161291,0,0,56.37096774193548,35.12903225806452,3
2008,Apr,835,668,21,NA,120,26,0.17450000000000002,0,0,66.48333333333333,46.2,4
2008,May,907,756,20,NA,108,23,0.27064516129032257,0,0,72.62903225806451,50.62903225806452,5
2008,Jun,1148,925,21,NA,175,27,0.191,0,0,86.86666666666666,64.91666666666667,6
2008,Jul,1198,908,23,NA,236,31,0.16435483870967743,0,0,88.11290322580645,68.16129032258064,7
2008,Aug,1075,820,20,NA,207,28,0.0467741935483871,0,0,84.87096774193549,63.806451612903224,8
2008,Sep,989,788,21,NA,153,27,0.201,0,0,79.75,60.7,9
2008,Oct,892,727,19,NA,120,26,0.04548387096774193,0,0,67.29032258064517,45.41935483870968,10
2008,Nov,885,713,22,NA,125,25,0.074,0,0,54.75,37.9,11
2008,Dec,966,740,20,NA,182,25,0.10806451612903226,0.00967741935483871,0.016129032258064516,47.49180327868852,30.483870967741936,12
2009,Jan,1033,776,23,NA,207,27,0.09370967741935483,0.054838709677419356,0.0967741935483871,38.20967741935484,22.629032258064516,1
2009,Feb,851,649,16,NA,165,21,0.009107142857142857,0.0125,0,49.32727272727273,28.272727272727273,2
2009,Mar,894,700,19,NA,148,26,0.06951612903225807,0.22741935483870968,0.4838709677419355,54.24590163934426,34.82258064516129,3
2009,Apr,841,679,19,NA,119,24,0.16844827586206895,0,0,68.71428571428571,46.62068965517241,4
2009,May,922,755,21,NA,121,25,0.26016666666666666,0,0,76.32758620689656,56.557377049180324,5
2009,Jun,1029,824,23,NA,152,29,0.20344827586206896,0,0,83.32203389830508,65.47457627118644,6
2009,Jul,1097,853,19,NA,197,28,0.11774193548387096,0,0,87,65.84745762711864,7
2009,Aug,1166,892,19,NA,225,30,0.1335483870967742,0,0,88.40322580645162,68.43548387096774,8
2009,Sep,911,716,16,NA,153,25,0.10783333333333334,0,0,77.43333333333334,58.75,9
2009,Oct,866,713,17,NA,112,24,0.20725806451612902,0,0,66.1311475409836,46.40983606557377,10
2009,Nov,838,670,18,NA,126,24,0.161,0,0,59.32203389830509,41.23728813559322,11
2009,Dec,987,765,22,NA,173,26,0.24516129032258066,0.6409836065573771,2.2950819672131146,43.096774193548384,27.967741935483872,12
2010,Jan,988,727,20,NA,216,25,0.07580645161290323,0.2161290322580645,0.11864406779661017,41.354838709677416,24.758064516129032,1
2010,Feb,902,683,18,NA,181,20,0.09313725490196079,1.088,9.019607843137255,39,25.01851851851852,2
2010,Mar,858,669,18,NA,145,25,0.14838709677419354,0,0,58.25806451612903,39.45161290322581,3
2010,Apr,829,677,18,NA,111,22,0.06258620689655173,0,0,70.9322033898305,46.23728813559322,4
2010,May,976,794,21,NA,135,26,0.0985483870967742,0,0,77.48387096774194,57.306451612903224,5
2010,Jun,1172,915,23,NA,201,33,0.056,0,0,89.2,68.75,6
2010,Jul,1211,882,19,NA,281,29,0.13033333333333333,0,0,92.16949152542372,71.16949152542372,7
2010,Aug,1167,883,18,NA,237,29,0.1753225806451613,0,0,87.24193548387096,68.70967741935483,8
2010,Sep,1003,787,19,NA,169,28,0.18383333333333332,0,0,83.3,60.53333333333333,9
2010,Oct,882,713,17,NA,126,25,0.15564516129032258,0,0,69.65573770491804,48.31147540983606,10
2010,Nov,873,710,18,NA,121,23,0.06949999999999999,0,0,58.53703703703704,37.333333333333336,11
2010,Dec,1016,768,21,NA,199,28,0.05967741935483871,0.0467741935483871,0.05084745762711865,40.5,25.419354838709676,12
2011,Jan,1019,744,19,NA,230,25,0.09440677966101695,0.2771929824561403,0.6842105263157895,38.610169491525426,22.93220338983051,1
2011,Feb,857,646,17,NA,172,22,0.07854545454545454,0.06521739130434782,0.3191489361702128,49.32727272727273,28.166666666666668,2
2011,Mar,890,710,19,NA,134,27,0.15098360655737705,0,0,55.77049180327869,34.950819672131146,3
2011,Apr,834,659,17,NA,134,24,0.11457627118644068,0,0,68.42372881355932,47.728813559322035,4
2011,May,961,786,20,NA,127,27,0.07370967741935484,0,0,78.46774193548387,57.37096774193548,5
2011,Jun,1083,834,18,NA,202,30,0.08233333333333333,0,0,87.93333333333334,65.83333333333333,6
2011,Jul,1251,929,19,NA,272,31,0.07951612903225806,0,0,93.62903225806451,71.46774193548387,7
2011,Aug,1085,802,17,NA,240,26,0.30870967741935484,0,0,87.85245901639344,67.04918032786885,8
2011,Sep,950,753,16,NA,150,30,0.40017857142857144,0,0,79.625,62.839285714285715,9
2011,Oct,881,720,16,NA,118,27,0.11847457627118645,0,0,67.86440677966101,46.983050847457626,10
